collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),AKAMAS,,,,,1,7,32.0,,34.9,21.8,8.3,,,,270.0,,,,28.0,0.0,,,4.269885,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),AKAMAS,,,,,1,7,29.3,,34.9,21.8,7.5,,,,269.0,,,,46.0,0.0,,,3.85833,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),AKAMAS,,,,,1,7,24.2,,34.9,21.8,6.6,,,,307.0,,,,78.0,0.0,,,3.39533,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),AKAMAS,,,,,1,7,23.4,,23.5,23.2,4.8,,,,311.0,,,,87.0,0.0,,,2.469331,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),AKAMAS,,,,,1,7,23.6,,23.7,21.6,6.6,,,,339.0,,,,62.0,0.0,,,3.39533,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),AKAMAS,,,,,1,7,23.5,,23.8,21.6,4.2,,,,301.0,,,,75.0,0.0,,,2.160665,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),AKAMAS,,,,,1,7,22.7,,23.8,21.6,1.7,,,,261.0,,,,81.0,0.0,,,0.874555,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),AKAMAS,,,,,1,7,22.9,,23.8,21.6,2.7,,,,292.0,,,,75.0,0.0,,,1.388999,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),AKAMAS,,,,,1,7,25.6,,25.9,21.6,2.1,,,,34.0,,,,40.0,0.0,,,1.080332,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),AKAMAS,,,,,1,7,28.7,,28.9,21.6,1.8,,,,19.0,,,,25.0,0.0,,,0.925999,,
2026-07-28T06:40:00+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28 09:40 (Local Time),AKAMAS,,,,,1,7,29.3,,32.7,21.6,4.1,,,,289.0,,,,62.0,0.0,,,2.10922,,
