collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),ZYGI,,,,,1,9,20.5,20.1,25.6,20.5,1.8,0.4,,,324.0,,,,75.0,0.0,,,0.925999,,
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),ZYGI,,,,,1,9,27.4,33.6,27.7,20.4,1.9,0.2,,,339.0,,,,52.0,0.0,,,0.977444,,
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),ZYGI,,,,,1,9,30.9,39.5,31.5,20.4,3.9,1.5,,,152.0,,,,64.0,0.0,,,2.006332,,
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),ZYGI,,,,,1,9,31.1,34.4,33.4,20.4,3.6,1.4,,,182.0,,,,56.0,0.0,,,1.851998,,
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),ZYGI,,,,,1,9,26.1,25.8,33.4,20.4,0.8,0.2,,,350.0,,,,75.0,0.0,,,0.411555,,
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),ZYGI,,,,,1,9,23.5,23.1,25.8,23.4,2.1,0.3,,,344.0,,,,73.0,0.0,,,1.080332,,
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),ZYGI,,,,,1,9,22.7,22.0,25.8,22.6,1.8,0.3,,,339.0,,,,72.0,0.0,,,0.925999,,
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),ZYGI,,,,,1,9,21.7,21.0,25.8,21.5,1.8,0.4,,,335.0,,,,73.0,0.0,,,0.925999,,
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),ZYGI,,,,,1,9,30.5,37.1,30.6,21.1,0.0,0.4,,,81.0,,,,53.0,0.0,,,0.0,,
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),ZYGI,,,,,1,9,32.7,43.5,33.2,21.1,4.1,1.7,,,208.0,,,,51.0,0.0,,,2.10922,,
2026-09-02T13:50:00+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02 16:50 (Local Time),ZYGI,,,,,1,9,31.7,36.1,33.8,21.1,5.1,2.1,,,203.0,,,,49.0,0.0,,,2.623664,,
2026-09-02T17:50:00+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02 20:40 (Local Time),ZYGI,,,,,1,9,25.6,25.4,33.8,21.1,0.8,0.3,,,314.0,,,,68.0,0.0,,,0.411555,,
2026-09-02T20:00:00+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02 23:00 (Local Time),ZYGI,,,,,1,9,24.5,24.1,25.0,23.7,1.1,0.5,,,89.0,,,,69.0,0.0,,,0.565888,,
2026-09-02T22:30:00+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-03 01:30 (Local Time),ZYGI,,,,,1,9,24.1,23.5,25.0,22.9,2.4,0.7,,,349.0,,,,71.0,0.0,,,1.234666,,
